4. Kyu<br><br>suwari waza<br>shomen uchi<br>irimi nage	<a href="https://www.youtube.com/watch/?v=QPbWxeMZO-E&t=283">Bodo Rödel Sensei</a><br><br><a href="https://www.youtube.com/watch/?v=3Fhyh63D4IM&t=734">Christian Tissier Sensei</a><br><a href="https://www.youtube.com/watch/?v=zgQIIymWg_k&t=0">François Pichereau Sensei</a><br><a href="https://www.youtube.com/watch/?v=u8WD-0W-pP4&t=250">Karl Ruben Sensei</a><br>
4. Kyu<br><br>tachi waza<br>ai hanmi katate dori<br>nikyo	<a href="https://www.youtube.com/watch/?v=QPbWxeMZO-E&t=3">Bodo Rödel Sensei</a><br><br><a href="https://www.youtube.com/watch/?v=Zzf1NNc0Two&t=129">Aikido Zentrum Basel</a><br><a href="https://www.youtube.com/watch/?v=3Fhyh63D4IM&t=274">Christian Tissier Sensei</a><br><a href="https://www.youtube.com/watch/?v=hmhUozNZoYo&t=0">François Pichereau Sensei</a><br><a href="https://www.youtube.com/watch/?v=11lFn4wpfsk&t=133">Karl Ruben Sensei</a><br>
4. Kyu<br><br>tachi waza<br>ai hanmi katate dori<br>ude kime nage	<a href="https://www.youtube.com/watch/?v=QPbWxeMZO-E&t=29">Bodo Rödel Sensei</a><br><br><a href="https://www.youtube.com/watch/?v=YxSV71GUqFs&t=225">Aikido Zentrum Basel</a><br><a href="https://www.youtube.com/watch/?v=3Fhyh63D4IM&t=619">Christian Tissier Sensei</a><br><a href="https://www.youtube.com/watch/?v=kg5F_aN5_Ts&t=0">François Pichereau Sensei</a><br>
4. Kyu<br><br>tachi waza<br>gyaku hanmi katate dori<br>ikkyo	<a href="https://www.youtube.com/watch/?v=QPbWxeMZO-E&t=39">Bodo Rödel Sensei</a><br><br><a href="https://www.youtube.com/watch/?v=SyBxbkbdJWA&t=0">Aikido Zentrum Basel</a><br><a href="https://www.youtube.com/watch/?v=3Fhyh63D4IM&t=3">Christian Tissier Sensei</a><br><a href="https://www.youtube.com/watch/?v=5DR2ATA_X9Y&t=0">François Pichereau Sensei</a><br><a href="https://www.youtube.com/watch/?v=11lFn4wpfsk&t=244">Karl Ruben Sensei</a><br>
4. Kyu<br><br>tachi waza<br>gyaku hanmi katate dori<br>nikyo	<a href="https://www.youtube.com/watch/?v=QPbWxeMZO-E&t=60">Bodo Rödel Sensei</a><br><br><a href="https://www.youtube.com/watch/?v=SyBxbkbdJWA&t=43">Aikido Zentrum Basel</a><br><a href="https://www.youtube.com/watch/?v=3Fhyh63D4IM&t=207">Christian Tissier Sensei</a><br><a href="https://www.youtube.com/watch/?v=ESeQSfg1o3Q&t=0">François Pichereau Sensei</a><br><a href="https://www.youtube.com/watch/?v=11lFn4wpfsk&t=302">Karl Ruben Sensei</a><br>
4. Kyu<br><br>tachi waza<br>gyaku hanmi katate dori<br>kote gaeshi	<a href="https://www.youtube.com/watch/?v=QPbWxeMZO-E&t=100">Bodo Rödel Sensei</a><br><br><a href="https://www.youtube.com/watch/?v=SyBxbkbdJWA&t=104">Aikido Zentrum Basel</a><br><a href="https://www.youtube.com/watch/?v=3Fhyh63D4IM&t=468">Christian Tissier Sensei</a><br><a href="https://www.youtube.com/watch/?v=hRIccRuhbSA&t=0">François Pichereau Sensei</a><br><a href="https://www.youtube.com/watch/?v=11lFn4wpfsk&t=392">Karl Ruben Sensei</a><br>
4. Kyu<br><br>tachi waza<br>gyaku hanmi katate dori<br>shiho nage	<a href="https://www.youtube.com/watch/?v=QPbWxeMZO-E&t=87">Bodo Rödel Sensei</a><br><br><a href="https://www.youtube.com/watch/?v=SyBxbkbdJWA&t=150">Aikido Zentrum Basel</a><br><a href="https://www.youtube.com/watch/?v=jOCU-sgBVWo&t=0">François Pichereau Sensei</a><br><a href="https://www.youtube.com/watch/?v=11lFn4wpfsk&t=431">Karl Ruben Sensei</a><br>
4. Kyu<br><br>tachi waza<br>gyaku hanmi katate dori<br>irimi nage	<a href="https://www.youtube.com/watch/?v=QPbWxeMZO-E&t=114">Bodo Rödel Sensei</a><br><br><a href="https://www.youtube.com/watch/?v=SyBxbkbdJWA&t=128">Aikido Zentrum Basel</a><br><a href="https://www.youtube.com/watch/?v=3Fhyh63D4IM&t=512">Christian Tissier Sensei</a><br><a href="https://www.youtube.com/watch/?v=p9a-Iu_q90I&t=0">François Pichereau Sensei</a><br><a href="https://www.youtube.com/watch/?v=11lFn4wpfsk&t=366">Karl Ruben Sensei</a><br>
4. Kyu<br><br>tachi waza<br>gyaku hanmi katate dori<br>sokumen irimi nage	<a href="https://www.youtube.com/watch/?v=QPbWxeMZO-E&t=148">Bodo Rödel Sensei</a><br><br><a href="https://www.youtube.com/watch/?v=3Fhyh63D4IM&t=678">Christian Tissier Sensei</a><br><a href="https://www.youtube.com/watch/?v=OHAi98r0yf8&t=0">François Pichereau Sensei</a><br><a href="https://www.youtube.com/watch/?v=LaSilceurNY&t=604">Karl Ruben Sensei</a><br>
4. Kyu<br><br>tachi waza<br>gyaku hanmi katate dori<br>tenchi nage	<a href="https://www.youtube.com/watch/?v=QPbWxeMZO-E&t=123">Bodo Rödel Sensei</a><br><br><a href="https://www.youtube.com/watch/?v=SyBxbkbdJWA&t=225">Aikido Zentrum Basel</a><br><a href="https://www.youtube.com/watch/?v=7onzcFcx_hg&t=189">Christian Tissier Sensei</a><br><a href="https://www.youtube.com/watch/?v=HYz1EbR99l4&t=0">François Pichereau Sensei</a><br><a href="https://www.youtube.com/watch/?v=LaSilceurNY&t=492">Karl Ruben Sensei</a><br>
4. Kyu<br><br>tachi waza<br>gyaku hanmi katate dori<br>uchi kaiten nage	<a href="https://www.youtube.com/watch/?v=QPbWxeMZO-E&t=130">Bodo Rödel Sensei</a><br><br><a href="https://www.youtube.com/watch/?v=SyBxbkbdJWA&t=182">Aikido Zentrum Basel</a><br><a href="https://www.youtube.com/watch/?v=3Fhyh63D4IM&t=565">Christian Tissier Sensei</a><br><a href="https://www.youtube.com/watch/?v=fDgG4J-UA0k&t=0">François Pichereau Sensei</a><br><a href="https://www.youtube.com/watch/?v=11lFn4wpfsk&t=476">Karl Ruben Sensei</a><br>
4. Kyu<br><br>tachi waza<br>gyaku hanmi katate dori<br>ude kime nage	<a href="https://www.youtube.com/watch/?v=QPbWxeMZO-E&t=138">Bodo Rödel Sensei</a><br><br><a href="https://www.youtube.com/watch/?v=EJVxiyWvt3I&t=0">Aikido Zentrum Basel</a><br><a href="https://www.youtube.com/watch/?v=BymVlxGd6BM&t=0">François Pichereau Sensei</a><br><a href="https://www.youtube.com/watch/?v=LaSilceurNY&t=510">Karl Ruben Sensei</a><br>
4. Kyu<br><br>tachi waza<br>ryote dori<br>tenchi nage	<a href="https://www.youtube.com/watch/?v=QPbWxeMZO-E&t=204">Bodo Rödel Sensei</a><br><br><a href="https://www.youtube.com/watch/?v=EJVxiyWvt3I&t=337">Aikido Zentrum Basel</a><br><a href="https://www.youtube.com/watch/?v=3Fhyh63D4IM&t=532">Christian Tissier Sensei</a><br><a href="https://www.youtube.com/watch/?v=shSIhWoPm6c&t=0">François Pichereau Sensei</a><br><a href="https://www.youtube.com/watch/?v=11lFn4wpfsk&t=503">Karl Ruben Sensei</a><br>
4. Kyu<br><br>tachi waza<br>kata dori<br>ikkyo	<a href="https://www.youtube.com/watch/?v=QPbWxeMZO-E&t=156">Bodo Rödel Sensei</a><br><br><a href="https://www.youtube.com/watch/?v=EJVxiyWvt3I&t=367">Aikido Zentrum Basel</a><br><a href="https://www.youtube.com/watch/?v=3Fhyh63D4IM&t=62">Christian Tissier Sensei</a><br><a href="https://www.youtube.com/watch/?v=TNKal-1HahE&t=0">François Pichereau Sensei</a><br><a href="https://www.youtube.com/watch/?v=LaSilceurNY&t=990">Karl Ruben Sensei</a><br>
4. Kyu<br><br>tachi waza<br>kata dori<br>nikyo	<a href="https://www.youtube.com/watch/?v=QPbWxeMZO-E&t=179">Bodo Rödel Sensei</a><br><br><a href="https://www.youtube.com/watch/?v=EJVxiyWvt3I&t=402">Aikido Zentrum Basel</a><br><a href="https://www.youtube.com/watch/?v=3Fhyh63D4IM&t=123">Christian Tissier Sensei</a><br><a href="https://www.youtube.com/watch/?v=K9JXQkg-TTw&t=0">François Pichereau Sensei</a><br><a href="https://www.youtube.com/watch/?v=LaSilceurNY&t=1047">Karl Ruben Sensei</a><br>
4. Kyu<br><br>tachi waza<br>shomen uchi<br>nikyo	<a href="https://www.youtube.com/watch/?v=QPbWxeMZO-E&t=210">Bodo Rödel Sensei</a><br><br><a href="https://www.youtube.com/watch/?v=qbRbx-ntIC0&t=363">Christian Tissier Sensei</a><br><a href="https://www.youtube.com/watch/?v=5l5aM_Li1oo&t=0">François Pichereau Sensei</a><br><a href="https://www.youtube.com/watch/?v=bi8t_-kLil8&t=1977">Karl Ruben Sensei</a><br>
3. Kyu<br><br>suwari waza<br>gyaku hanmi katate dori<br>ikkyo	<a href="https://www.youtube.com/watch/?v=3NGQz--VK0E&t=279">Bodo Rödel Sensei</a><br><br><a href="https://www.youtube.com/watch/?v=YxSV71GUqFs&t=0">Aikido Zentrum Basel</a><br><a href="https://www.youtube.com/watch/?v=qbRbx-ntIC0&t=1047">Christian Tissier Sensei</a><br><a href="https://www.youtube.com/watch/?v=LaSilceurNY&t=9">Karl Ruben Sensei</a><br>
